"acled_name","pop_name","method"
"Aceh Besar","Aceh Besar","exact"
"Aceh Jaya","Aceh Jaya","exact"
"Aceh Singkil","Aceh Singkil","exact"
"Aceh Tamiang","Aceh Tamiang","exact"
"Agam","Agam","exact"
"Alor","Alor","exact"
"Ambon","Ambon","exact"
"Anambas Islands","Kepulauan Anambas","islands"
"Aru Islands","Kepulauan Aru","islands"
"Asahan","Asahan","exact"
"Asmat","Asmat","exact"
"Badung","Badung","exact"
"Balangan","Balangan","exact"
"Balikpapan","Balikpapan","exact"
"Banda Aceh","Banda Aceh","exact"
"Bandar Lampung","Bandar Lampung","exact"
"Bandung","Bandung","exact"
"Banggai","Banggai","exact"
"Banggai Islands","Banggai Kepulauan","islands"
"Bangka","Bangka","exact"
"Bangkalan","Bangkalan","exact"
"Bangli","Bangli","exact"
"Banjar","Banjar","exact"
"Banjar Baru","Banjar Baru","exact"
"Banjarmasin","Banjarmasin","exact"
"Banjarnegara","Banjarnegara","exact"
"Bantaeng","Bantaeng","exact"
"Bantul","Bantul","exact"
"Banyu Asin","Banyuasin","special"
"Banyumas","Banyumas","exact"
"Banyuwangi","Banyuwangi","exact"
"Barito Kuala","Barito Kuala","exact"
"Barru","Barru","exact"
"Baru","Barru","fuzzy"
"Batam","Batam","exact"
"Batang","Batang","exact"
"Batang Hari","Batang Hari","exact"
"Batu","Batu","exact"
"Batu Bara","Batu Bara","exact"
"Baubau","Bau-Bau","special"
"Bekasi","Bekasi","exact"
"Belitung","Belitung","exact"
"Belu","Belu","exact"
"Bener Meriah","Bener Meriah","exact"
"Bengkalis","Bengkalis","exact"
"Bengkayang","Bengkayang","exact"
"Bengkulu","Bengkulu","exact"
"Berau","Berau","exact"
"Biak Numfor","Biak Numfor","exact"
"Bima","Bima","exact"
"Binjai","Binjai","exact"
"Bintan","Bintan","exact"
"Bireuen","Bireuen","exact"
"Bitung","Bitung","exact"
"Blitar","Blitar","exact"
"Blora","Blora","exact"
"Boalemo","Boalemo","exact"
"Bogor","Bogor","exact"
"Bojonegoro","Bojonegoro","exact"
"Bolaang Mongondow","Bolaang Mongondow","exact"
"Bombana","Bombana","exact"
"Bondowoso","Bondowoso","exact"
"Bone","Bone","exact"
"Bone Bolango","Bone Bolango","exact"
"Bontang","Bontang","exact"
"Boven Digoel","Boven Digoel","exact"
"Boyolali","Boyolali","exact"
"Brebes","Brebes","exact"
"Bukit Tinggi","Bukittinggi","special"
"Buleleng","Buleleng","exact"
"Bulukumba","Bulukumba","exact"
"Bulungan","Bulungan","exact"
"Bungo","Bungo","exact"
"Buol","Buol","exact"
"Buru","Buru","exact"
"Buton","Buton","exact"
"Central Aceh","Aceh Tengah","directional"
"Central Bangka","Bangka Tengah","directional"
"Central Bengkulu","Bengkulu Tengah","directional"
"Central Buton","Buton Tengah","directional"
"Central Halmahera","Halmahera Tengah","directional"
"Central Hulu Sungai","Hulu Sungai Tengah","directional"
"Central Jakarta","Jakarta Pusat","special"
"Central Lampung","Lampung Tengah","directional"
"Central Lombok","Lombok Tengah","directional"
"Central Maluku","Maluku Tengah","directional"
"Central Mamberamo","Mamberamo Tengah","directional"
"Central Mamuju","Mamuju Tengah","directional"
"Central Tapanuli","Tapanuli Tengah","directional"
"Ciamis","Ciamis","exact"
"Cianjur","Cianjur","exact"
"Cilacap","Cilacap","exact"
"Cilegon","Cilegon","exact"
"Cimahi","Cimahi","exact"
"Cirebon","Cirebon","exact"
"Dairi","Dairi","exact"
"Deiyai","Deiyai","exact"
"Deli Serdang","Deli Serdang","exact"
"Demak","Demak","exact"
"Denpasar","Denpasar","exact"
"Depok","Depok","exact"
"Dharmasraya","Dharmasraya","exact"
"Dogiyai","Dogiyai","exact"
"Dompu","Dompu","exact"
"Donggala","Donggala","exact"
"Dumai","Dumai","exact"
"East Aceh","Aceh Timur","directional"
"East Barito","Barito Timur","directional"
"East Belitung","Belitung Timur","directional"
"East Bolaang Mongondow","Bolaang Mongondow Timur","directional"
"East Flores","Flores Timur","directional"
"East Halmahera","Halmahera Timur","directional"
"East Jakarta","Jakarta Timur","directional"
"East Kolaka","Kolaka Timur","directional"
"East Kotawaringin","Kotawaringin Timur","directional"
"East Kutai","Kutai Timur","directional"
"East Lampung","Lampung Timur","directional"
"East Lombok","Lombok Timur","directional"
"East Luwu","Luwu Timur","directional"
"East Ogan Komering Ulu","Ogan Komering Ulu Timur","directional"
"East Seram Bagian","Seram Bagian Timur","directional"
"East Sumba","Sumba Timur","directional"
"East Tanjung Jabung","Tanjung Jabung Timur","directional"
"Empat Lawang","Empat Lawang","exact"
"Ende","Ende","exact"
"Enrekang","Enrekang","exact"
"Fakfak","Fakfak","exact"
"Garut","Garut","exact"
"Gayo Lues","Gayo Lues","exact"
"Gianyar","Gianyar","exact"
"Gorontalo","Gorontalo","exact"
"Gowa","Gowa","exact"
"Gresik","Gresik","exact"
"Grobogan","Grobogan","exact"
"Gunung Kidul","Gunung Kidul","exact"
"Gunung Mas","Gunung Mas","exact"
"Gunungsitoli","Gunung Sitoli","fuzzy"
"Indragiri Hilir","Indragiri Hilir","exact"
"Indragiri Hulu","Indragiri Hulu","exact"
"Indramayu","Indramayu","exact"
"Intan Jaya","Intan Jaya","exact"
"Jambi","Jambi","exact"
"Jayapura","Jayapura","exact"
"Jayawijaya","Jayawijaya","exact"
"Jember","Jember","exact"
"Jembrana","Jembrana","exact"
"Jeneponto","Jeneponto","exact"
"Jepara","Jepara","exact"
"Jombang","Jombang","exact"
"Kaimana","Kaimana","exact"
"Kampar","Kampar","exact"
"Kapuas","Kapuas","exact"
"Kapuas Hulu","Kapuas Hulu","exact"
"Karanganyar","Karanganyar","exact"
"Karangasem","Karangasem","exact"
"Karawang","Karawang","exact"
"Karimun","Karimun","exact"
"Karo","Karo","exact"
"Kebumen","Kebumen","exact"
"Kediri","Kediri","exact"
"Keerom","Keerom","exact"
"Kendal","Kendal","exact"
"Kendari","Kediri","fuzzy"
"Kerinci","Kerinci","exact"
"Ketapang","Ketapang","exact"
"Klaten","Klaten","exact"
"Klungkung","Klungkung","exact"
"Konawe","Konawe","exact"
"Konawe Islands","Konawe Kepulauan","islands"
"Kotamobagu","Kotamobagu","exact"
"Kuantan Singingi","Kuantan Singingi","exact"
"Kubu Raya","Kubu Raya","exact"
"Kudus","Kudus","exact"
"Kulon Progo","Kulon Progo","exact"
"Kuningan","Kuningan","exact"
"Kupang","Kupang","exact"
"Kutai Kartanegara","Kutai Kartanegara","exact"
"Labuhan Batu","Labuhan Batu","exact"
"Lahat","Lahat","exact"
"Lamandau","Lamandau","exact"
"Lamongan","Lamongan","exact"
"Landak","Landak","exact"
"Langkat","Langkat","exact"
"Langsa","Langsa","exact"
"Lanny Jaya","Lanny Jaya","exact"
"Lebak","Lebak","exact"
"Lembata","Lembata","exact"
"Lhokseumawe","Lhokseumawe","exact"
"Lima Puluh","Limapuluh Kota","special"
"Lingga","Lingga","exact"
"Lubuklinggau","Lubuklinggau","exact"
"Lumajang","Lumajang","exact"
"Luwu","Luwu","exact"
"Madiun","Madiun","exact"
"Magelang","Magelang","exact"
"Magetan","Magetan","exact"
"Majalengka","Majalengka","exact"
"Majene","Majene","exact"
"Makassar","Makassar","exact"
"Malaka","Malaka","exact"
"Malang","Malang","exact"
"Malinau","Malinau","exact"
"Maluku Tenggara","Maluku Tenggara","exact"
"Mamasa","Mamasa","exact"
"Mamberamo Raya","Mamberamo Raya","exact"
"Mamuju","Mamuju","exact"
"Manado","Manado","exact"
"Mandailing Natal","Mandailing Natal","exact"
"Manggarai","Manggarai","exact"
"Manokwari","Manokwari","exact"
"Mappi","Mappi","exact"
"Maros","Maros","exact"
"Mataram","Mataram","exact"
"Maybrat","Maybrat","exact"
"Medan","Medan","exact"
"Mempawah",NA,"none"
"Merangin","Merangin","exact"
"Meranti Islands","Kepulauan Meranti","islands"
"Merauke","Merauke","exact"
"Mesuji","Mesuji","exact"
"Metro","Metro","exact"
"Mimika","Mimika","exact"
"Minahasa","Minahasa","exact"
"Mojokerto","Mojokerto","exact"
"Morowali","Morowali","exact"
"Muara Enim","Muara Enim","exact"
"Muaro Jambi","Muaro Jambi","exact"
"Mukomuko","Mukomuko","exact"
"Muna","Muna","exact"
"Murung Raya","Murung Raya","exact"
"Musi Banyuasin","Musi Banyuasin","exact"
"Musi Rawas","Musi Rawas","exact"
"Nabire","Nabire","exact"
"Nagan Raya","Nagan Raya","exact"
"Nagekeo","Nagekeo","exact"
"Natuna","Natuna","exact"
"Nduga","Nduga","exact"
"Ngada","Ngada","exact"
"Nganjuk","Nganjuk","exact"
"Ngawi","Ngawi","exact"
"North Aceh","Aceh Utara","directional"
"North Bengkulu","Bengkulu Utara","directional"
"North Bolaang Mongondow","Bolaang Mongondow Utara","directional"
"North Buton","Buton Utara","directional"
"North Central Timor","Timor Tengah Utara","multi_directional"
"North Gorontalo","Gorontalo Utara","directional"
"North Halmahera","Halmahera Utara","directional"
"North Hulu Sungai","Hulu Sungai Utara","directional"
"North Jakarta","Jakarta Utara","directional"
"North Kayong","Kayong Utara","directional"
"North Kolaka","Kolaka Utara","directional"
"North Konawe","Konawe Utara","directional"
"North Labuhan Batu","Labuhan Batu Utara","directional"
"North Lampung","Lampung Utara","directional"
"North Lombok","Lombok Utara","directional"
"North Luwu","Luwu Utara","directional"
"North Mamuju","Mamuju Utara","directional"
"North Minahasa","Minahasa Utara","directional"
"North Morowali","Morowali Utara","directional"
"North Musi Rawas","Musi Rawas Utara","directional"
"North Padang Lawas","Padang Lawas Utara","directional"
"North Penajam Paser","Penajam Paser Utara","directional"
"North Tapanuli","Tapanuli Utara","directional"
"North Toraja","Toraja Utara","directional"
"Nunukan","Nunukan","exact"
"Ogan Ilir","Ogan Ilir","exact"
"Ogan Komering Ilir","Ogan Komering Ilir","exact"
"Ogan Komering Ulu","Ogan Komering Ulu","exact"
"Pacitan","Pacitan","exact"
"Padang","Padang","exact"
"Padang Lawas","Padang Lawas","exact"
"Padang Panjang","Padang Panjang","exact"
"Padang Pariaman","Padang Pariaman","exact"
"Padang Sidempuan","Padang Sidempuan","exact"
"Pagar Alam","Pagar Alam","exact"
"Palangka Raya","Palangkaraya","fuzzy"
"Palembang","Palembang","exact"
"Palopo","Palopo","exact"
"Palu","Palu","exact"
"Pamekasan","Pamekasan","exact"
"Pandeglang","Pandeglang","exact"
"Pangandaran","Pangandaran","exact"
"Pangkajene and Islands","Pangkajene Kepulauan","special"
"Pangkalpinang","Pangkal Pinang","fuzzy"
"Paniai","Paniai","exact"
"Parepare","Parepare","exact"
"Pariaman","Pariaman","exact"
"Parigi Moutong","Parigi Moutong","exact"
"Paser","Pasir","fuzzy"
"Pasuruan","Pasuruan","exact"
"Pati","Pati","exact"
"Pegunungan Arfak","Pegunungan Arfak","exact"
"Pegunungan Bintang","Pegunungan Bintang","exact"
"Pekalongan","Pekalongan","exact"
"Pekanbaru","Pekanbaru","exact"
"Pelalawan","Pelalawan","exact"
"Pemalang","Pemalang","exact"
"Pematang Siantar","Pematang Siantar","exact"
"Penukal Abab Lematang Ilir","Penukal Abab Lematang Ilir","exact"
"Pesawaran","Pesawaran","exact"
"Pidie","Pidie","exact"
"Pinrang","Pinrang","exact"
"Pohuwato","Pohuwato","exact"
"Polewali Mandar","Polewali Mandar","exact"
"Ponorogo","Ponorogo","exact"
"Pontianak","Pontianak","exact"
"Poso","Poso","exact"
"Prabumulih","Prabumulih","exact"
"Pringsewu","Pringsewu","exact"
"Probolinggo","Probolinggo","exact"
"Pulau Morotai","Pulau Morotai","exact"
"Pulau Taliabu","Pulau Taliabu","exact"
"Puncak","Puncak","exact"
"Puncak Jaya","Puncak Jaya","exact"
"Purbalingga","Purbalingga","exact"
"Purwakarta","Purwakarta","exact"
"Purworejo","Purworejo","exact"
"Raja Ampat","Raja Ampat","exact"
"Rejang Lebong","Rejang Lebong","exact"
"Rembang","Rembang","exact"
"Rokan Hilir","Rokan Hilir","exact"
"Rokan Hulu","Rokan Hulu","exact"
"Sabang","Sabang","exact"
"Sabu Raijua","Sabu Raijua","exact"
"Salatiga","Salatiga","exact"
"Samarinda","Samarinda","exact"
"Sambas","Sambas","exact"
"Samosir","Samosir","exact"
"Sampang","Sampang","exact"
"Sanggau","Sanggau","exact"
"Sangihe Islands","Kepulauan Sangihe","islands"
"Sarmi","Sarmi","exact"
"Sarolangun","Sarolangun","exact"
"Sawah Lunto","Sawahlunto","fuzzy"
"Sawahlunto Sijunjung",NA,"none"
"Sekadau","Sekadau","exact"
"Seluma","Seluma","exact"
"Semarang","Semarang","exact"
"Serang","Serang","exact"
"Serdang Bedagai","Serdang Bedagai","exact"
"Seruyan","Seruyan","exact"
"Siak","Siak","exact"
"Sibolga","Sibolga","exact"
"Sidenreng Rappang","Sidenreng Rappang","exact"
"Sidoarjo","Sidoarjo","exact"
"Sigi","Sigi","exact"
"Sikka","Sikka","exact"
"Simalungun","Simalungun","exact"
"Simeulue","Simeulue","exact"
"Singkawang","Singkawang","exact"
"Sinjai","Sinjai","exact"
"Sintang","Sintang","exact"
"Sitaro Islands",NA,"none"
"Situbondo","Situbondo","exact"
"Sleman","Sleman","exact"
"Solok","Solok","exact"
"Soppeng","Soppeng","exact"
"Sorong","Sorong","exact"
"South Aceh","Aceh Selatan","directional"
"South Bangka","Bangka Selatan","directional"
"South Bolaang Mongondow","Bolaang Mongondow Selatan","directional"
"South Buru","Buru Selatan","directional"
"South Buton","Buton Selatan","directional"
"South Central Timor","Timor Tengah Selatan","multi_directional"
"South Halmahera","Halmahera Selatan","directional"
"South Hulu Sungai","Hulu Sungai Selatan","directional"
"South Jakarta","Jakarta Selatan","directional"
"South Konawe","Konawe Selatan","directional"
"South Lampung","Lampung Selatan","directional"
"South Manokwari","Manokwari Selatan","directional"
"South Minahasa","Minahasa Selatan","directional"
"South Nias","Nias Selatan","directional"
"South Ogan Komering Ulu","Ogan Komering Ulu Selatan","directional"
"South Pesisir","Pesisir Selatan","directional"
"South Solok","Solok Selatan","directional"
"South Sorong","Sorong Selatan","directional"
"South Tangerang","Tangerang Selatan","directional"
"South Tapanuli","Tapanuli Selatan","directional"
"Southeast Aceh","Aceh Tenggara","directional"
"Southeast Minahasa","Minahasa Tenggara","directional"
"Southwest Aceh","Aceh Barat Daya","directional"
"Southwest Maluku","Maluku Barat Daya","directional"
"Southwest Sumba","Sumba Barat Daya","directional"
"Sragen","Sragen","exact"
"Subang","Subang","exact"
"Subulussalam","Subulussalam","exact"
"Sukabumi","Sukabumi","exact"
"Sukoharjo","Sukoharjo","exact"
"Sula Islands","Kepulauan Sula","islands"
"Sumbawa","Sumbawa","exact"
"Sumedang","Sumedang","exact"
"Sumenep","Sumenep","exact"
"Sungai Penuh","Sungai Penuh","exact"
"Surabaya","Surabaya","exact"
"Surakarta","Surakarta","exact"
"Tabalong","Tabalong","exact"
"Tabanan","Tabanan","exact"
"Takalar","Takalar","exact"
"Talaud Islands","Kepulauan Talaud","islands"
"Tambrauw","Tambrauw","exact"
"Tana Tidung","Tana Tidung","exact"
"Tana Toraja","Tana Toraja","exact"
"Tanah Bumbu","Tanah Bumbu","exact"
"Tanah Datar","Tanah Datar","exact"
"Tanah Laut","Tanah Laut","exact"
"Tangerang","Tangerang","exact"
"Tanggamus","Tanggamus","exact"
"Tanjung Balai","Tanjung Balai","exact"
"Tanjung Pinang","Tanjung Pinang","exact"
"Tapin","Tapin","exact"
"Tarakan","Tarakan","exact"
"Tasikmalaya","Tasikmalaya","exact"
"Tebing Tinggi","Tebing Tinggi","exact"
"Tebo","Tebo","exact"
"Tegal","Tegal","exact"
"Teluk Bintuni","Teluk Bintuni","exact"
"Teluk Wondama","Teluk Wondama","exact"
"Temanggung","Temanggung","exact"
"Ternate","Ternate","exact"
"Thousand Islands","Adm. Kepulauan Seribu","special"
"Tidore Kepulauan","Kepulauan Tidore","special"
"Toba Samosir","Toba Samosir","exact"
"Tojo Una-Una","Tojo Una-Una","exact"
"Toli-Toli","Toli-Toli","exact"
"Tolikara","Tolikara","exact"
"Tomohon","Tomohon","exact"
"Trenggalek","Trenggalek","exact"
"Tuban","Tuban","exact"
"Tulang Bawang","Tulang Bawang","exact"
"Tulungagung","Tulungagung","exact"
"Wajo","Wajo","exact"
"Wakatobi","Wakatobi","exact"
"Waropen","Waropen","exact"
"Way Kanan","Way Kanan","exact"
"West Aceh","Aceh Barat","directional"
"West Bandung","Bandung Barat","directional"
"West Bangka","Bangka Barat","directional"
"West Halmahera","Halmahera Barat","directional"
"West Jakarta","Jakarta Barat","directional"
"West Kotawaringin","Kotawaringin Barat","directional"
"West Kutai","Kutai Barat","directional"
"West Lampung","Lampung Barat","directional"
"West Lombok","Lombok Barat","directional"
"West Manggarai","Manggarai Barat","directional"
"West Muna","Muna Barat","directional"
"West Pasaman","Pasaman Barat","directional"
"West Pesisir","Pesisir Barat","directional"
"West Seram Bagian","Seram Bagian Barat","directional"
"West Sumba","Sumba Barat","directional"
"West Sumbawa","Sumbawa Barat","directional"
"West Tanjung Jabung","Tanjung Jabung Barat","directional"
"West Tulang Bawang","Tulang Bawang Barat","directional"
"Wonogiri","Wonogiri","exact"
"Wonosobo","Wonosobo","exact"
"Yahukimo","Yahukimo","exact"
"Yalimo","Yalimo","exact"
"Yapen Islands","Kepulauan Yapen","islands"
"Yogyakarta","Yogyakarta","exact"
